detector_0_mean,detector_0_std,detector_0_variance,detector_0_min,detector_0_max,detector_0_range,detector_0_median,detector_0_skewness,detector_0_kurtosis,detector_0_dominant_power,detector_1_mean,detector_1_std,detector_1_variance,detector_1_min,detector_1_max,detector_1_range,detector_1_median,detector_1_skewness,detector_1_kurtosis,detector_1_dominant_power,detector_2_mean,detector_2_std,detector_2_variance,detector_2_min,detector_2_max,detector_2_range,detector_2_median,detector_2_skewness,detector_2_kurtosis,detector_2_dominant_power,detector_3_mean,detector_3_std,detector_3_variance,detector_3_min,detector_3_max,detector_3_range,detector_3_median,detector_3_skewness,detector_3_kurtosis,detector_3_dominant_power,num_people,presence,moving
-40.32151346130038,1.6815743321994145,2.827692234711907,-44.00761654163247,-36.563000621024344,7.444615920608129,-40.93772023731292,0.35639740414210674,0.11779183331373977,806.4302692260076,-44.59944630105001,1.4671744259597455,2.152600796190309,-47.92611546197592,-42.10277051203311,5.823344949942808,-44.182881074809394,-0.6807062298476869,-0.22798544812399069,891.9889260210005,-49.37203921476693,1.1245200072304258,1.2645452466615168,-51.42102448765644,-47.02971941878912,4.391305068867318,-49.396867117463614,0.025593476078957737,-0.6647853922340028,987.4407842953384,-54.917705143403836,1.221605550187506,1.4923201202489196,-57.46409411322237,-53.09535358916764,4.368740524054736,-54.589028808326454,-0.45154103599551626,-0.6366054965579235,1098.354102868077,0,0,0
-40.49517524860555,1.3862969852905873,1.9218193314257708,-44.21379115636827,-38.19510995399225,6.0186812023760226,-40.63478527786286,-0.6453497455607975,0.6565893931093667,809.9035049721109,-44.92358160283237,1.5088274955267325,2.2765604112574716,-48.39195559366795,-42.359166639196246,6.032788954471705,-44.65726842398046,-0.60407270810025,-0.2286339433627873,898.4716320566474,-49.46951480665089,1.2973548725714057,1.6831296653847683,-52.59488824331509,-47.6258123773642,4.969075865950892,-49.111634482542975,-0.5822206637030436,-0.32390276139694185,989.390296133018,-54.80872156096565,1.6001593400867775,2.5605099136669516,-57.35348488365813,-51.934235169343005,5.419249714315129,-54.72644276316748,0.06074285821483189,-1.0907553314125016,1096.174431219313,0,0,0
-39.62402576004119,1.3867591612725292,1.9231009713732885,-41.93891368684182,-37.04064048661319,4.89827320022863,-39.23518741910995,-0.2544188482352569,-0.8987437588765741,792.4805152008239,-44.89572976761541,1.058458532178544,1.1203344643415578,-47.089989823181355,-42.87346873096322,4.216521092218137,-44.87724707436631,0.08695167247415901,-0.4469800288948793,897.9145953523082,-48.620550192328544,1.4582603149232676,2.1265231460801077,-50.604283233703256,-44.84311818861173,5.7611650450915235,-48.90814376932007,1.059290140158987,0.3531860489242491,972.4110038465709,-55.13782195478583,1.163919165404268,1.3547078235953678,-56.90690354720624,-52.47157647373324,4.4353270734729975,-55.11600706673788,0.4248112228423087,-0.2782318239362027,1102.7564390957166,0,0,0
-39.634740627458704,1.9234049486389997,3.6994865964489927,-43.70577870714736,-35.99182630319812,7.713952403949243,-39.599512642476014,-0.04523179102163406,-0.32783841333230423,792.694812549174,-45.31869870913205,1.1278280111557883,1.2719960227476212,-48.22397773077693,-43.35930681060906,4.8646709201678675,-45.16598355845659,-0.6102601460782398,0.45649565605816234,906.3739741826412,-48.81774429432275,1.4655218035558637,2.1477541566976317,-52.1509907026722,-44.925847192677246,7.2251435099949575,-49.0185119077689,0.34589416495320985,1.1768278094916678,976.3548858864551,-54.73350646219418,1.5565955502148856,2.4229897069487825,-56.76507932335912,-51.29438645332909,5.470692870030028,-54.750382134507255,0.47980751949269856,-0.7192054008772053,1094.6701292438836,0,0,0
-39.951832160423365,1.4512070992521695,2.1060020449198964,-42.958522301713174,-36.738713881911345,6.219808419801829,-39.703240259093974,-0.12959593070397013,-0.10150794611608438,799.0366432084675,-44.573157447959595,1.3298128692281315,1.7684022671647555,-48.42558753938615,-42.37596791212795,6.049619627258203,-44.579757157788876,-0.9777015557715247,1.4086139837753135,891.463148959192,-49.68883991866982,1.56320159990184,2.4435992419356727,-51.61075205230013,-46.09117693957584,5.51957511272429,-49.494302369044874,0.595587667586328,-0.47729254497229556,993.7767983733964,-55.46908924929251,0.9583259168888443,0.9183885629808441,-56.871967229662616,-52.773124639729694,4.0988425899329215,-55.66456547648121,1.0907953395513772,1.2929485743228444,1109.3817849858503,0,0,0
-39.99864358632347,1.387456792425804,1.9250363508485009,-43.318452959043434,-37.271625229570866,6.046827729472568,-39.78794698962937,-0.458723742983692,-0.07406609017812427,799.9728717264693,-44.43574851546397,1.5577136024262719,2.4264716671838333,-48.43701396092295,-41.914761597829525,6.522252363093422,-44.33499503801693,-0.6389280597694057,0.20135941593107853,888.7149703092791,-49.564031576042396,1.2143176699887448,1.474567403646894,-51.944770858769616,-47.36231985986673,4.582450998902885,-49.50569514650935,-0.08856507049238144,-0.5503474714091006,991.280631520848,-54.77499668957013,1.2867432268509085,1.6557081318466884,-56.971852380524325,-51.64251779525173,5.329334585272598,-54.906844528730076,0.8856609276466102,0.7459819228218203,1095.4999337914023,0,0,0
-40.197697453479385,1.1933515741076275,1.4240879794251522,-42.97537019698619,-38.359843797429626,4.615526399556565,-40.04734095516382,-0.47072977810376365,-0.4217891435026626,803.9539490695877,-44.308614881699,1.6223731594974633,2.6320946686577815,-47.21714321159428,-40.28941661741098,6.927726594183305,-44.32372057349188,0.22739157619491696,0.3277499092453513,886.1722976339801,-48.51904098811683,1.5597742286795635,2.4328956444529273,-50.90127132952736,-45.539788255241085,5.3614830742862765,-48.52062188368237,0.21026014971619822,-0.7919697806572015,970.3808197623364,-55.32855241751345,1.5161365230285082,2.2986699564609743,-58.07506783468751,-52.323666095167255,5.751401739520254,-55.17206220876669,-0.1122106485499712,-0.734027298731629,1106.5710483502687,0,0,0
-39.540008935859035,1.924449155368258,3.703504551597601,-43.03652629626325,-34.98787929324629,8.04864700301696,-39.734666528485846,0.5053562693418193,-0.03692939550660945,790.8001787171809,-44.90211928933769,1.2251295983440165,1.500942532738571,-47.02183577825319,-42.6267033635472,4.395132414705991,-44.90734571214492,0.11948215340034746,-0.7936215045417816,898.0423857867539,-49.6376017199655,1.1960654931876316,1.4305726639941725,-51.73625212533519,-46.931787733708916,4.804464391626276,-49.72507008188445,0.5214217455911891,-0.24547434904617527,992.75203439931,-54.19355787502032,1.4896160268435588,2.21895590742919,-57.56499571756657,-51.63168624382882,5.933309473737751,-54.1693206832998,-0.49938911150767196,0.1733321614396437,1083.871157500406,0,0,0
-39.75026192016962,1.409461274618026,1.9865810846478706,-43.229760259866154,-37.78374516534572,5.446015094520433,-39.524854942433166,-0.7286384458603357,-0.05359017358481788,795.0052384033925,-44.807897132483355,1.0727675526240372,1.1508302219629667,-46.739455990082746,-42.775557199816,3.9638987902667466,-44.7004508552721,-0.09553098576815126,-0.6732762682702265,896.1579426496671,-49.02008598004659,1.7270299275358092,2.982632370604342,-51.86934449684261,-46.16229417321284,5.707050323629765,-48.995811403314136,-0.07843815629818675,-1.096556335195574,980.4017196009318,-54.36186527643328,1.4137151608851806,1.9985905561166117,-57.66928894207721,-51.42126407829934,6.2480248637778715,-54.17842699789902,-0.3788585878507268,0.2966664366362508,1087.2373055286657,0,0,0
-40.08344977152554,1.7419489578832459,3.0343861718705263,-44.10216365340092,-37.29305492997054,6.809108723430384,-39.79709482673741,-0.592959111962958,-0.3202489729972213,801.6689954305104,-43.980720210344145,1.3274979405800207,1.7622507822441964,-46.26746012790847,-41.836721534278105,4.430738593630366,-44.0616005326206,0.08116183383459767,-1.0991106544239202,879.614404206883,-49.909310745400056,1.146829113313172,1.3152170151426765,-52.31233929699876,-47.843443199400184,4.468896097598574,-50.02822960128425,-0.013933506332923836,-0.5439339771112244,998.186214908001,-54.51779350116577,1.4998783559800537,2.249635082737429,-56.895460644858446,-52.22857278380093,4.666887861057518,-54.61712626746937,0.11460743815711522,-1.1917947751531814,1090.3558700233154,0,0,0
